Zip Code ,Population ,Case Count - Cumulative,Case Count - Last 30 Days ,Case Count - Last 14 Days ,Case Count Per 100K - Cumulative,Case Count Per 100K - Last 30 Days,Case Count Per 100K - Last 14 Days
43001,2810,85,37,19,3024.9,1316.7,676.2
43002,3744,N/A,N/A,N/A,N/A,N/A,N/A
43003,3005,52,34,19,1730.40,1131.40,632.3
43004,26139,1362,494,212,5210.60,1889.90,811
43005,201,N/A,N/A,N/A,N/A,N/A,N/A
43006,655,13,11,N/A,1984.70,1679.40,N/A
43008,2614,60,36,20,2295.30,1377.20,765.1
43009,2453,39,25,13,1589.90,1019.20,530
43010,260,11,N/A,N/A,4230.80,N/A,N/A
43011,7722,173,79,43,2240.40,1023.10,556.9
43013,809,31,14,5,3831.90,1730.50,618
43014,3507,78,50,14,2224.10,1425.70,399.2
43015,55462,1673,855,466,3016.50,1541.60,840.2
43016,36260,1367,617,285,3770.00,1701.60,786
43017,40649,1598,672,282,3931.20,1653.20,693.7
43019,9295,205,106,38,2205.50,1140.40,408.8
43021,12327,413,189,92,3350.40,1533.20,746.3
43022,4500,45,23,5,1000.00,511.1,111.1
43023,13864,356,142,68,2567.80,1024.20,490.5
43025,5100,147,67,26,2882.40,1313.70,509.8
43026,62169,2476,1027,469,3982.70,1651.90,754.4
43028,8335,213,139,39,2555.50,1667.70,467.9
43029,563,16,8,N/A,2841.90,1421.00,N/A
43030,113,6,N/A,N/A,5309.70,N/A,N/A
43031,13408,361,183,69,2692.40,1364.90,514.6
43032,19,N/A,N/A,N/A,N/A,N/A,N/A
43033,298,10,5,N/A,3355.70,1677.90,N/A
43035,27011,938,379,192,3472.70,1403.10,710.8
43036,270,11,N/A,N/A,4074.10,N/A,N/A
43037,301,8,6,N/A,2657.80,1993.40,N/A
43040,34169,1426,793,277,4173.40,2320.80,810.7
43044,4866,137,78,29,2815.50,1603.00,596
43045,1982,45,32,11,2270.40,1614.50,555
43046,3812,118,61,23,3095.50,1600.20,603.4
43050,28508,724,423,178,2539.60,1483.80,624.4
43054,26953,903,366,151,3350.30,1357.90,560.2
43055,61904,1991,984,421,3216.30,1589.60,680.1
43056,19039,610,321,119,3203.90,1686.00,625
43060,2809,50,29,9,1780.00,1032.40,320.4
43061,4278,126,77,42,2945.30,1799.90,981.8
43062,29460,1163,484,212,3947.70,1642.90,719.6
43064,14243,522,238,111,3665.00,1671.00,779.3
43065,42782,1299,530,256,3036.30,1238.80,598.4
43066,1239,29,14,7,2340.60,1129.90,565
43067,1458,41,30,10,2812.10,2057.60,685.9
43068,55225,2854,1097,421,5167.90,1986.40,762.3
43070,159,9,7,7,5660.40,4402.50,4402.50
43071,1986,79,46,24,3977.80,2316.20,1208.50
43072,5701,146,75,29,2561.00,1315.60,508.7
43074,13229,355,174,90,2683.50,1315.30,680.3
43076,8421,331,112,64,3930.60,1330.00,760
43077,369,10,N/A,N/A,2710.00,N/A,N/A
43078,20446,616,312,152,3012.80,1526.00,743.4
43080,5254,149,65,25,2835.90,1237.20,475.8
43081,61572,2137,894,385,3470.70,1452.00,625.3
43082,33636,892,381,178,2651.90,1132.70,529.2
43084,766,6,N/A,N/A,783.3,N/A,N/A
43085,26216,812,251,100,3097.30,957.4,381.4
43101,285,9,6,N/A,3157.90,2105.30,N/A
43102,4500,151,81,31,3355.60,1800.00,688.9
43103,11006,359,151,68,3261.90,1372.00,617.8
43105,7626,222,124,62,2911.10,1626.00,813
43106,1589,65,12,N/A,4090.60,755.2,N/A
43107,3399,86,49,21,2530.20,1441.60,617.8
43109,82,N/A,N/A,N/A,N/A,N/A,N/A
43110,38817,1531,560,272,3944.10,1442.70,700.7
43111,289,N/A,N/A,N/A,N/A,N/A,N/A
43112,4945,175,80,48,3538.90,1617.80,970.7
43113,24341,626,287,131,2571.80,1179.10,538.2
43115,1493,34,19,N/A,2277.30,1272.60,N/A
43116,1563,105,61,17,6717.90,3902.80,1087.70
43117,212,N/A,N/A,N/A,N/A,N/A,N/A
43119,28551,1044,404,212,3656.60,1415.00,742.5
43123,65442,2416,947,422,3691.80,1447.10,644.8
43125,13551,491,160,69,3623.30,1180.70,509.2
43126,498,11,7,5,2208.80,1405.60,1004.00
43127,240,N/A,N/A,N/A,N/A,N/A,N/A
43128,2558,59,27,13,2306.50,1055.50,508.2
43130,61259,2404,1129,542,3924.30,1843.00,884.8
43135,3914,90,46,18,2299.40,1175.30,459.9
43136,690,71,28,13,10289.90,4058.00,1884.10
43137,2276,66,30,13,2899.80,1318.10,571.2
43138,18107,520,328,108,2871.80,1811.50,596.5
43140,24514,1148,322,172,4683.00,1313.50,701.6
43142,102,N/A,N/A,N/A,N/A,N/A,N/A
43143,5762,179,82,40,3106.60,1423.10,694.2
43144,401,8,N/A,N/A,1995.00,N/A,N/A
43145,2189,61,28,13,2786.70,1279.10,593.9
43146,12275,2871,290,116,23389.00,2362.50,945
43147,41000,1706,667,324,4161.00,1626.80,790.2
43148,2350,46,14,N/A,1957.40,595.7,N/A
43149,2414,60,42,23,2485.50,1739.90,952.8
43150,2158,83,51,29,3846.20,2363.30,1343.80
43151,316,21,8,N/A,6645.60,2531.60,N/A
43152,787,7,N/A,N/A,889.5,N/A,N/A
43153,742,26,10,5,3504.00,1347.70,673.9
43154,3770,79,36,15,2095.50,954.9,397.9
43155,2669,85,47,18,3184.70,1761.00,674.4
43156,201,6,N/A,N/A,2985.10,N/A,N/A
43157,648,14,7,6,2160.50,1080.20,925.9
43158,345,5,N/A,N/A,1449.30,N/A,N/A
43160,21854,783,385,113,3582.90,1761.70,517.1
43162,7189,178,85,52,2476.00,1182.40,723.3
43164,2233,47,27,11,2104.80,1209.10,492.6
43201,33455,3243,666,253,9693.60,1990.70,756.2
43202,21141,670,258,104,3169.20,1220.40,491.9
43203,8368,342,104,49,4087.00,1242.80,585.6
43204,42463,1476,445,194,3476.00,1048.00,456.9
43205,12725,474,191,79,3725.00,1501.00,620.8
43206,22677,777,310,146,3426.40,1367.00,643.8
43207,47265,1714,535,224,3626.40,1131.90,473.9
43209,28516,851,326,181,2984.30,1143.20,634.7
43210,12530,1290,251,109,10295.30,2003.20,869.9
43211,23453,749,200,77,3193.60,852.8,328.3
43212,21350,869,382,153,4070.30,1789.20,716.6
43213,33551,1369,427,210,4080.40,1272.70,625.9
43214,26229,815,310,129,3107.20,1181.90,491.8
43215,14440,1048,441,193,7257.60,3054.00,1336.60
43217,2440,60,15,7,2459.00,614.8,286.9
43219,30526,1654,409,159,5418.30,1339.80,520.9
43220,26549,840,329,157,3164.00,1239.20,591.4
43221,32913,965,420,197,2932.00,1276.10,598.5
43222,4529,197,35,20,4349.70,772.8,441.6
43223,25963,1285,255,107,4949.40,982.2,412.1
43224,44678,1857,466,197,4156.40,1043.00,440.9
43227,24296,1021,335,141,4202.30,1378.80,580.3
43228,54362,2546,731,312,4683.40,1344.70,573.9
43229,53693,2784,666,328,5185.00,1240.40,610.9
43230,58167,2103,827,355,3615.50,1421.80,610.3
43231,21828,1143,339,127,5236.40,1553.10,581.8
43232,45352,1843,568,261,4063.80,1252.40,575.5
43235,42673,1485,570,261,3480.00,1335.70,611.6
43240,4295,197,85,36,4586.70,1979.00,838.2
43302,54023,4372,1110,508,8092.80,2054.70,940.3
43310,2841,84,48,25,2956.70,1689.50,880
43311,18946,660,343,108,3483.60,1810.40,570
43314,3033,96,50,26,3165.20,1648.50,857.2
43315,7272,157,82,34,2159.00,1127.60,467.5
43316,5869,171,88,24,2913.60,1499.40,408.9
43317,153,6,N/A,N/A,3921.60,N/A,N/A
43318,4537,92,43,21,2027.80,947.8,462.9
43319,926,22,12,N/A,2375.80,1295.90,N/A
43320,1524,49,23,13,3215.20,1509.20,853
43321,256,N/A,N/A,N/A,N/A,N/A,N/A
43322,355,10,8,N/A,2816.90,2253.50,N/A
43323,699,26,14,5,3719.60,2002.90,715.3
43324,2963,84,40,16,2835.00,1350.00,540
43326,13745,514,326,206,3739.50,2371.80,1498.70
43330,119,N/A,N/A,N/A,N/A,N/A,N/A
43331,4507,149,96,28,3306.00,2130.00,621.3
43332,1734,55,34,19,3171.90,1960.80,1095.70
43333,509,20,8,N/A,3929.30,1571.70,N/A
43334,6317,157,91,41,2485.40,1440.60,649
43337,1149,37,23,11,3220.20,2001.70,957.4
43338,10164,372,157,77,3660.00,1544.70,757.6
43340,1845,39,27,9,2113.80,1463.40,487.8
43341,948,38,22,13,4008.40,2320.70,1371.30
43342,2861,115,59,18,4019.60,2062.20,629.2
43343,1012,36,16,10,3557.30,1581.00,988.1
43344,5996,128,78,24,2134.80,1300.90,400.3
43345,742,35,21,12,4717.00,2830.20,1617.30
43347,1501,36,19,11,2398.40,1265.80,732.8
43348,1736,61,42,19,3513.80,2419.40,1094.50
43351,10013,417,241,77,4164.60,2406.90,769
43356,1388,37,16,6,2665.70,1152.70,432.3
43357,3921,112,78,32,2856.40,1989.30,816.1
43358,2588,70,40,15,2704.80,1545.60,579.6
43359,818,21,8,5,2567.20,978,611.2
43360,1600,39,24,13,2437.50,1500.00,812.5
43402,32259,1422,511,214,4408.10,1584.10,663.4
43403,5501,185,60,29,3363.00,1090.70,527.2
43406,1920,58,14,N/A,3020.80,729.2,N/A
43407,729,16,N/A,N/A,2194.80,N/A,N/A
43408,270,15,6,N/A,5555.60,2222.20,N/A
43410,10030,338,167,59,3369.90,1665.00,588.2
43412,4373,128,60,19,2927.10,1372.10,434.5
43413,1522,44,20,12,2890.90,1314.10,788.4
43416,2989,74,38,21,2475.70,1271.30,702.6
43420,30133,860,436,187,2854.00,1446.90,620.6
43430,4504,176,64,24,3907.60,1421.00,532.9
43431,4868,208,55,19,4272.80,1129.80,390.3
43432,1278,38,14,9,2973.40,1095.50,704.2
43433,85,N/A,N/A,N/A,N/A,N/A,N/A
43434,61,N/A,N/A,N/A,N/A,N/A,N/A
43435,1345,41,24,N/A,3048.30,1784.40,N/A
43437,578,11,N/A,N/A,1903.10,N/A,N/A
43438,202,6,5,N/A,2970.30,2475.20,N/A
43439,53,N/A,N/A,N/A,N/A,N/A,N/A
43440,4738,145,87,30,3060.40,1836.20,633.2
43442,1170,16,8,N/A,1367.50,683.8,N/A
43443,1920,53,27,11,2760.40,1406.30,572.9
43445,1239,26,12,7,2098.50,968.5,565
43446,88,N/A,N/A,N/A,N/A,N/A,N/A
43447,3645,119,51,13,3264.70,1399.20,356.7
43449,8219,183,94,38,2226.50,1143.70,462.3
43450,3636,104,47,16,2860.30,1292.60,440
43451,1251,29,10,N/A,2318.10,799.4,N/A
43452,13674,469,226,72,3429.90,1652.80,526.5
43456,291,51,N/A,N/A,17525.80,N/A,N/A
43457,1536,54,24,11,3515.60,1562.50,716.1
43458,521,N/A,N/A,N/A,N/A,N/A,N/A
43460,6498,251,107,38,3862.70,1646.70,584.8
43462,1191,32,17,12,2686.80,1427.40,1007.60
43463,39,N/A,N/A,N/A,N/A,N/A,N/A
43464,1377,44,21,N/A,3195.40,1525.10,N/A
43465,5273,163,65,26,3091.20,1232.70,493.1
43466,2059,53,30,10,2574.10,1457.00,485.7
43467,85,N/A,N/A,N/A,N/A,N/A,N/A
43468,401,35,17,5,8728.20,4239.40,1246.90
43469,2948,90,54,22,3052.90,1831.80,746.3
43501,870,23,13,N/A,2643.70,1494.30,N/A
43502,6609,201,118,47,3041.30,1785.40,711.2
43504,1261,31,19,7,2458.40,1506.70,555.1
43505,52,N/A,N/A,N/A,N/A,N/A,N/A
43506,14192,478,278,106,3368.10,1958.90,746.9
43511,1075,23,7,N/A,2139.50,651.2,N/A
43512,27951,1204,621,180,4307.50,2221.70,644
43515,8582,197,109,48,2295.50,1270.10,559.3
43516,2742,92,43,17,3355.20,1568.20,620
43517,4134,108,54,15,2612.50,1306.20,362.8
43518,2524,76,46,18,3011.10,1822.50,713.2
43519,333,5,N/A,N/A,1501.50,N/A,N/A
43521,2742,80,51,23,2917.60,1860.00,838.8
43522,3291,68,35,15,2066.20,1063.50,455.8
43523,20,N/A,N/A,N/A,N/A,N/A,N/A
43524,1302,33,12,N/A,2534.60,921.7,N/A
43525,1096,47,18,6,4288.30,1642.30,547.4
43526,5890,203,137,42,3446.50,2326.00,713.1
43527,1986,161,79,36,8106.70,3977.80,1812.70
43528,15919,685,280,141,4303.00,1758.90,885.7
43529,328,N/A,N/A,N/A,N/A,N/A,N/A
43531,308,N/A,N/A,N/A,N/A,N/A,N/A
43532,3972,84,30,13,2114.80,755.3,327.3
43533,1702,41,17,7,2408.90,998.8,411.3
43534,1739,54,25,13,3105.20,1437.60,747.6
43535,719,28,13,N/A,3894.30,1808.10,N/A
43536,161,8,6,N/A,4968.90,3726.70,N/A
43537,27097,1226,535,267,4524.50,1974.40,985.3
43540,1358,47,23,5,3461.00,1693.70,368.2
43541,140,6,N/A,N/A,4285.70,N/A,N/A
43542,3687,172,89,52,4665.00,2413.90,1410.40
43543,7785,216,144,42,2774.60,1849.70,539.5
43545,14182,579,228,77,4082.60,1607.70,542.9
43547,179,6,6,5,3352.00,3352.00,2793.30
43548,587,29,10,N/A,4940.40,1703.60,N/A
43549,1310,40,26,10,3053.40,1984.70,763.4
43551,38839,1678,736,329,4320.40,1895.00,847.1
43553,139,14,5,N/A,10071.90,3597.10,N/A
43554,2371,71,51,11,2994.50,2151.00,463.9
43555,313,8,6,N/A,2555.90,1916.90,N/A
43556,1765,50,34,17,2832.90,1926.30,963.2
43557,3324,119,47,23,3580.00,1414.00,691.9
43558,12662,468,230,96,3696.10,1816.50,758.2
43560,32275,1347,612,261,4173.50,1896.20,808.7
43565,502,10,7,5,1992.00,1394.40,996
43566,7926,342,152,72,4314.90,1917.70,908.4
43567,13247,511,247,94,3857.50,1864.60,709.6
43569,2896,58,26,16,2002.80,897.8,552.5
43570,3195,113,60,23,3536.80,1877.90,719.9
43571,7526,273,141,56,3627.40,1873.50,744.1
43604,8920,348,104,49,3901.30,1165.90,549.3
43605,26096,605,185,97,2318.40,708.9,371.7
43606,25219,839,307,153,3326.90,1217.30,606.7
43607,21117,791,206,112,3745.80,975.5,530.4
43608,14570,431,124,81,2958.10,851.1,555.9
43609,21936,630,195,108,2872.00,888.9,492.3
43610,4343,117,43,25,2694.00,990.1,575.6
43611,18579,619,299,156,3331.70,1609.30,839.7
43612,29686,895,347,161,3014.90,1168.90,542.3
43613,32653,1134,460,216,3472.90,1408.80,661.5
43614,31607,1223,493,264,3869.40,1559.80,835.3
43615,39786,1424,529,259,3579.10,1329.60,651
43616,20380,914,352,181,4484.80,1727.20,888.1
43617,7268,281,151,71,3866.30,2077.60,976.9
43619,7296,252,110,55,3453.90,1507.70,753.8
43620,5863,159,57,36,2711.90,972.2,614
43623,19936,757,357,154,3797.20,1790.70,772.5
43701,55595,1761,957,492,3167.60,1721.40,885
43711,116,N/A,N/A,N/A,N/A,N/A,N/A
43713,7066,251,161,64,3552.20,2278.50,905.7
43716,1874,49,30,13,2614.70,1600.90,693.7
43717,143,6,N/A,N/A,4195.80,N/A,N/A
43718,2926,67,49,11,2289.80,1674.60,375.9
43719,2689,62,31,11,2305.70,1152.80,409.1
43720,1331,33,22,N/A,2479.30,1652.90,N/A
43721,81,N/A,N/A,N/A,N/A,N/A,N/A
43722,306,N/A,N/A,N/A,N/A,N/A,N/A
43723,5185,130,61,27,2507.20,1176.50,520.7
43724,9319,500,314,89,5365.40,3369.50,955
43725,19592,521,266,153,2659.20,1357.70,780.9
43727,1163,48,30,15,4127.30,2579.50,1289.80
43728,1602,23,14,8,1435.70,873.9,499.4
43730,2287,53,32,19,2317.40,1399.20,830.8
43731,5379,144,96,61,2677.10,1784.70,1134.00
43732,1448,37,18,7,2555.20,1243.10,483.4
43734,1738,39,30,20,2244.00,1726.10,1150.70
43735,438,12,10,N/A,2739.70,2283.10,N/A
43736,35,N/A,N/A,N/A,N/A,N/A,N/A
43738,103,N/A,N/A,N/A,N/A,N/A,N/A
43739,2179,51,31,15,2340.50,1422.70,688.4
43740,277,5,N/A,N/A,1805.10,N/A,N/A
43746,1215,25,14,8,2057.60,1152.30,658.4
43747,879,19,11,6,2161.50,1251.40,682.6
43748,2752,64,35,18,2325.60,1271.80,654.1
43749,2376,44,19,8,1851.90,799.7,336.7
43750,115,N/A,N/A,N/A,N/A,N/A,N/A
43754,1618,30,10,N/A,1854.10,618,N/A
43755,1983,22,8,N/A,1109.40,403.4,N/A
43756,4834,147,104,61,3041.00,2151.40,1261.90
43758,3060,60,33,18,1960.80,1078.40,588.2
43759,57,N/A,N/A,N/A,N/A,N/A,N/A
43760,2138,29,14,10,1356.40,654.8,467.7
43761,49,N/A,N/A,N/A,N/A,N/A,N/A
43762,5997,154,75,42,2568.00,1250.60,700.4
43764,8750,305,114,56,3485.70,1302.90,640
43766,1543,29,14,7,1879.50,907.3,453.7
43767,986,42,30,12,4259.60,3042.60,1217.00
43768,497,7,6,N/A,1408.50,1207.20,N/A
43771,1895,43,30,19,2269.10,1583.10,1002.60
43772,1880,67,42,12,3563.80,2234.00,638.3
43773,3668,73,42,15,1990.20,1145.00,408.9
43777,4823,93,57,34,1928.30,1181.80,705
43778,1148,26,17,11,2264.80,1480.80,958.2
43779,855,40,21,N/A,4678.40,2456.10,N/A
43780,1697,71,26,14,4183.90,1532.10,825
43782,673,13,8,N/A,1931.60,1188.70,N/A
43783,4731,83,47,17,1754.40,993.4,359.3
43786,35,N/A,N/A,N/A,N/A,N/A,N/A
43787,3111,27,17,8,867.9,546.4,257.2
43788,754,24,18,N/A,3183.00,2387.30,N/A
43793,4901,151,45,28,3081.00,918.2,571.3
43802,1008,37,26,15,3670.60,2579.40,1488.10
43804,3786,92,19,N/A,2430.00,501.8,N/A
43805,81,N/A,N/A,N/A,N/A,N/A,N/A
43811,835,25,9,N/A,2994.00,1077.80,N/A
43812,18640,487,219,69,2612.70,1174.90,370.2
43821,4389,148,104,41,3372.10,2369.60,934.2
43822,5115,136,89,37,2658.80,1740.00,723.4
43824,4116,53,22,13,1287.70,534.5,315.8
43830,5775,229,141,54,3965.40,2441.60,935.1
43832,7349,234,111,61,3184.10,1510.40,830
43836,108,N/A,N/A,N/A,N/A,N/A,N/A
43837,1658,46,34,12,2774.40,2050.70,723.8
43840,1253,33,16,9,2633.70,1276.90,718.3
43842,330,10,7,N/A,3030.30,2121.20,N/A
43843,1062,31,18,7,2919.00,1694.90,659.1
43844,3519,83,55,21,2358.60,1562.90,596.8
43845,4607,181,124,39,3928.80,2691.60,846.5
43901,1984,48,18,10,2419.40,907.3,504
43902,116,7,6,N/A,6034.50,5172.40,N/A
43903,2108,32,13,8,1518.00,616.7,379.5
43905,107,N/A,N/A,N/A,N/A,N/A,N/A
43906,8643,146,76,30,1689.20,879.3,347.1
43907,5760,100,54,28,1736.10,937.5,486.1
43908,1599,23,7,N/A,1438.40,437.8,N/A
43910,3208,62,42,22,1932.70,1309.20,685.8
43912,6317,135,77,44,2137.10,1218.90,696.5
43913,1596,21,11,6,1315.80,689.2,375.9
43914,194,5,N/A,N/A,2577.30,N/A,N/A
43915,1172,36,15,6,3071.70,1279.90,511.9
43917,3380,41,19,8,1213.00,562.1,236.7
43920,22290,547,337,191,2454.00,1511.90,856.9
43925,425,N/A,N/A,N/A,N/A,N/A,N/A
43926,236,6,6,N/A,2542.40,2542.40,N/A
43927,124,N/A,N/A,N/A,N/A,N/A,N/A
43928,21,N/A,N/A,N/A,N/A,N/A,N/A
43930,795,16,11,6,2012.60,1383.60,754.7
43931,375,7,5,N/A,1866.70,1333.30,N/A
43932,836,18,15,11,2153.10,1794.30,1315.80
43933,1875,31,22,6,1653.30,1173.30,320
43934,466,5,N/A,N/A,1073.00,N/A,N/A
43935,8870,185,117,51,2085.70,1319.10,575
43938,5320,95,65,35,1785.70,1221.80,657.9
43939,439,8,N/A,N/A,1822.30,N/A,N/A
43940,102,7,N/A,N/A,6862.70,N/A,N/A
43942,2767,53,36,8,1915.40,1301.00,289.1
43943,3029,53,30,17,1749.80,990.4,561.2
43944,2221,44,35,24,1981.10,1575.90,1080.60
43945,3189,49,18,9,1536.50,564.4,282.2
43946,2136,41,23,9,1919.50,1076.80,421.3
43947,5297,147,81,28,2775.20,1529.20,528.6
43948,586,N/A,N/A,N/A,N/A,N/A,N/A
43950,16446,615,214,64,3739.50,1301.20,389.2
43951,64,N/A,N/A,N/A,N/A,N/A,N/A
43952,18498,518,341,222,2800.30,1843.40,1200.10
43953,11656,263,144,81,2256.30,1235.40,694.9
43961,363,5,N/A,N/A,1377.40,N/A,N/A
43962,92,N/A,N/A,N/A,N/A,N/A,N/A
43963,1385,24,18,7,1732.90,1299.60,505.4
43964,8642,185,127,95,2140.70,1469.60,1099.30
43968,6212,185,123,80,2978.10,1980.00,1287.80
43970,80,N/A,N/A,N/A,N/A,N/A,N/A
43971,1100,19,6,N/A,1727.30,545.5,N/A
43972,121,N/A,N/A,N/A,N/A,N/A,N/A
43973,2281,20,15,9,876.8,657.6,394.6
43974,75,N/A,N/A,N/A,N/A,N/A,N/A
43976,1661,39,25,17,2348.00,1505.10,1023.50
43977,2289,38,13,N/A,1660.10,567.9,N/A
